"Issue Type","Epic Name","Summary","Description","Acceptance Criteria","Priority","Story Points","Epic Link","Labels"
"Story","","READ-4 — Gestes et haptique","Gestes: tap −1, double‑tap −5, swipe suivant; haptique/son à zéro.","Given double‑tap, Then compteur −5\nGiven zéro, Then haptique forte + son optionnel","Medium","5","READ — Lecteur Bilingue & Synchronisation","gestures,haptics"
"Story","","CNT-1 — Compteur persistant par tâche","Décrément à chaque validation/lecture, persistance en temps réel.","Given décrément, Then sauvegarde <500ms\nGiven redémarrage, Then valeur exacte restaurée","Highest","8","CNT — Compteur Intelligent & Mains Libres","counter,persistence"
"Story","","CNT-2 — Auto‑avance à zéro","Passage automatique à la tâche suivante quand compteur atteint zéro.","Given compteur=0, Then passage automatique avec feedback haptique/sonore","Highest","5","CNT — Compteur Intelligent & Mains Libres","autoadvance"
"Story","","CNT-3 — Mode mains libres","Décrément via marqueurs audio, délai configurable, verrouillage écran.","Given mains libres activé, Then décrément auto et avance à zéro\nGiven verrouillage, Then gestes désactivés accidentels","High","8","CNT — Compteur Intelligent & Mains Libres","handsfree"
"Story","","CNT-4 — Raccourcis écouteurs/volume","Mappage boutons écouteurs/volume à décrément/pause.","Given bouton, Then action configurable et fiable en arrière-plan","Medium","3","CNT — Compteur Intelligent & Mains Libres","shortcuts,hardware"
"Story","","PRS-1 — Snapshot incrémental","Sauvegarde snapshot de session debouncée, transactionnelle.","Given changement critique, Then snapshot dans <500ms\nGiven coupure app, Then reprise exacte possible","Highest","8","PRS — Persistance & Reprise","snapshot,crashsafe"
"Story","","PRS-2 — Modale de reprise","Proposer Reprendre exactement vs Réinitialiser avec détail du point.","Given redémarrage, Then modale avec options et détails","Highest","5","PRS — Persistance & Reprise","resume,modal"
"Story","","PRS-3 — Restauration atomique","Restaurer UI/audio/compteur sans clignotement ni incohérence.","Given reprise, Then état identique à l’interruption","Highest","8","PRS — Persistance & Reprise","restore,atomic"
"Story","","OFF-1 — Mode hors-ligne complet","Toutes fonctionnalités clés disponibles sans réseau.","Given mode avion, Then lecture, compteur, navigation et TTS cache fonctionnent","Highest","8","OFF — Offline & Sync","offline-first"
"Story","","OFF-2 — Sync Supabase","Synchronisation des métadonnées et sauvegardes avec stratégie LWW.","Given conflit, Then règle LWW s’applique et est traçable","High","13","OFF — Offline & Sync","sync,supabase"
"Story","","OFF-3 — Cache TTS","Cache audio par clé (texte+voix+vitesse), LRU et quotas.","Given TTS déjà généré, Then réutilisation instantanée","High","5","OFF — Offline & Sync","tts,cache"
"Story","","NOT-1 — Rappels par fréquence","Planification locale selon fréquence des thèmes/routines, respect DND.","Given rappel, Then notification à l’heure\nGiven DND, Then comportement conforme aux règles","Medium","5","NOT — Notifications & Rappels","notifications,reminders"
"Story","","NOT-2 — Deep‑links vers reprise","Actions de notification ouvrent la session au bon point.","Given tap Reprendre, Then ouverture directe sur la tâche et compteur exacts","Medium","3","NOT — Notifications & Rappels","deeplink,resume"
"Story","","NOT-3 — Sync serveur (pg_cron) optionnelle","Planification côté serveur pour backups/exports.","Given planif cloud, Then exécution idempotente et traçable","Low","5","NOT — Notifications & Rappels","server,cron"
"Story","","AI-1 — Suggestions de routines","Suggestions personnalisées avec justification et opt‑in.","Given suggestions, Then l’utilisateur peut accepter/refuser et voir pourquoi","Medium","8","AI — IA Suggestions & Génération","ai,suggestions"
"Story","","AI-2 — Génération d’invocations","Générer des invocations/rappels structurés révisables avant ajout.","Given génération, Then l’utilisateur édite/valide avant enregistrement","Medium","8","AI — IA Suggestions & Génération","ai,generation"
"Story","","AI-3 — Traduction & translittération","Services de traduction FR/AR et translittération avec cache.","Given texte, Then traduction/translit correctes et cohérentes","Medium","5","AI — IA Suggestions & Génération","ai,translation"
"Story","","AI-4 — Insights d’usage","Recommandations horaires, rythme, répétitions optimales.","Given historique, Then suggestions exploitables avec amélioration mesurée","Low","5","AI — IA Suggestions & Génération","ai,insights"
"Story","","A11Y-1 — Contrastes & tailles dynamiques","Contrastes AA/AAA et tailles respectant préférences système.","Given dark/light, Then contrastes>AA\nGiven tailles système, Then UI s’adapte","High","3","A11Y — Accessibilité & RTL","accessibility,contrast"
"Story","","A11Y-2 — Lecteur d’écran & focus","Labels semantics, ordre de focus logique, actions accessibles.","Given lecteur d’écran, Then annonces correctes et navigables","High","5","A11Y — Accessibilité & RTL","accessibility,screenreader"
"Story","","A11Y-3 — RTL impeccable","Miroir UI, icônes, gestes en RTL, tests golden.","Given RTL, Then aucune anomalie visuelle ni gestes inversés","High","5","A11Y — Accessibilité & RTL","rtl,visual"
"Story","","SEC-1 — Chiffrement local & clés","Chiffrement Drift/Isar, clés en secure storage.","Given dump local, Then données illisibles sans clé","High","5","SEC — Sécurité & Vie Privée","encryption,keystore"
"Story","","SEC-2 — Analytics opt‑in","Consentement utilisateur, anonymisation, désactivation possible.","Given opt-out, Then aucune collecte PII ni analytics","Medium","3","SEC — Sécurité & Vie Privée","privacy,analytics"
"Story","","SEC-3 — Export/Import chiffré","Exporter et restaurer données utilisateur de façon chiffrée.","Given export, Then fichier protégé et restauration fidèle","Medium","8","SEC — Sécurité & Vie Privée","backup,export"
"Story","","OBS-1 — Événements & funnels","Instrumentation des événements clés et funnels d’usage.","Given scénario, Then événements visibles dans analytics avec attributs","Medium","3","OBS — Analytics, Logs, Sentry","analytics,events"
"Story","","OBS-2 — Sentry & perf traces","Crash reporting, traces P95, alertes.","Given crash, Then alerte et stack\nGiven latence>P95, Then alerte","Medium","3","OBS — Analytics, Logs, Sentry","sentry,profiling"
"Story","","PERF-1 — Démarrage<2s, jank<1%","Optimiser cold start, initialisations paresseuses, caches chauds.","Given profilage, Then cold start<2s et jank<1%","High","5","PERF — Performance & Fiabilité","startup,performance"
"Story","","PERF-2 — Mémoire<150MB, bundle<35MB","Optimiser mémoire et taille, split par ABI, shrinker.","Given build, Then bundle<35MB\nGiven run, Then mémoire<150MB","Medium","5","PERF — Performance & Fiabilité","size,memory"
"Story","","PERF-3 — Audio focus & interruptions","Gérer appels, écouteurs, autres apps; reprise stable.","Given interruption, Then état sauvegardé et reprise au retour","High","5","PERF — Performance & Fiabilité","audio,focus"
"Story","","DSN-1 — Thèmes et palette","Définir tokens, clair/sombre, contrastes validés, thème dynamique.","Given thème, Then toutes les vues s’harmonisent et respectent les contrastes","High","3","DSN — Design System & Composants","theme,design"
"Story","","DSN-2 — Composants clés + tests visuels","CategoryChip, AudioBar, ReadingPane, CounterChip avec tests LTR/RTL.","Given composants, Then storybook/docs et golden tests passent","High","8","DSN — Design System & Composants","components,visualtests"
